order,list,item,condition,target_num,comp_num,sentence,firstDisplay,secondDisplay,expTrials
60,4,10,4,plural,plural,The wizards next to the florists are on Number 6.,E10_4_1.jpg,E10_4_2.jpg,Y
61,1,X22,9,singular,plural,The ladybug is on Number 2 and it is on the row above the canaries.,X22_9_1.jpg,X22_9_2.jpg,N
61,2,X22,9,singular,plural,The ladybug is on Number 2 and it is on the row above the canaries.,X22_9_1.jpg,X22_9_2.jpg,N
61,3,X22,9,singular,plural,The ladybug is on Number 2 and it is on the row above the canaries.,X22_9_1.jpg,X22_9_2.jpg,N
61,4,X22,9,singular,plural,The ladybug is on Number 2 and it is on the row above the canaries.,X22_9_1.jpg,X22_9_2.jpg,N
62,1,X43,9,plural,,The umbrella is above the jugs and they are on Number 6.,X43_9_1.jpg,X43_9_2.jpg,N
62,2,X43,9,plural,,The umbrella is above the jugs and they are on Number 6.,X43_9_1.jpg,X43_9_2.jpg,N
62,3,X43,9,plural,,The umbrella is above the jugs and they are on Number 6.,X43_9_1.jpg,X43_9_2.jpg,N
62,4,X43,9,plural,,The umbrella is above the jugs and they are on Number 6.,X43_9_1.jpg,X43_9_2.jpg,N
63,1,39,4,plural,plural,The cheerleaders below the soldiers are on Number 4.,E39_4_1.jpg,E39_4_2.jpg,Y
63,2,39,2,plural,singular,The cheerleaders below the soldier are on Number 4.,E39_2_1.jpg,E39_2_2.jpg,Y
63,3,39,3,plural,plural,The cheerleaders below the housekeepers are on Number 4.,E39_3_1.jpg,E39_3_2.jpg,Y
63,4,39,1,plural,singular,The cheerleaders below the housekeeper are on Number 4.,E39_1_1.jpg,E39_1_2.jpg,Y
64,1,X36,9,plural,plural,The sheep are on Number 4 and they are next to the laptop.,X36_9_1.jpg,X36_9_2.jpg,N
64,2,X36,9,plural,plural,The sheep are on Number 4 and they are next to the laptop.,X36_9_1.jpg,X36_9_2.jpg,N
64,3,X36,9,plural,plural,The sheep are on Number 4 and they are next to the laptop.,X36_9_1.jpg,X36_9_2.jpg,N
64,4,X36,9,plural,plural,The sheep are on Number 4 and they are next to the laptop.,X36_9_1.jpg,X36_9_2.jpg,N
65,1,X03,9,singular,,There is a cactus and it is on Number 5.,X03_9_1.jpg,X03_9_2.jpg,N
65,2,X03,9,singular,,There is a cactus and it is on Number 5.,X03_9_1.jpg,X03_9_2.jpg,N
65,3,X03,9,singular,,There is a cactus and it is on Number 5.,X03_9_1.jpg,X03_9_2.jpg,N
65,4,X03,9,singular,,There is a cactus and it is on Number 5.,X03_9_1.jpg,X03_9_2.jpg,N
66,1,1,1,plural,singular,The princes next to the bricklayer are on Number 3.,E01_1_1.jpg,E01_1_2.jpg,Y
66,2,1,3,plural,plural,The princes next to the bricklayers are on Number 3.,E01_3_1.jpg,E01_3_2.jpg,Y
